song,artist,play_count,song_length,album,genre,track_year
State Of Grace (Acoustic Version) (Taylor's Version),Taylor Swift,4,321.722,Red (Taylor’s Version) (+ A Message From Taylor),Pop,2021
So Happy It Hurts,Bryan Adams,4,215.248,So Happy It Hurts,Rock,2021
All You Need Is Love,Katy Perry,4,206.193,All You Need Is Love - Single,Pop,2021
Twice,Charli XCX,4,194.648,CRASH,Pop,2022
Sweetest Pie,Megan Thee Stallion & Dua Lipa,4,201.398,Sweetest Pie - Single,Pop,2022
Hand In My Pocket,Alanis Morissette,4,218.615,Jagged Little Pill (Remastered),Alternative,1995
How Can I Not Know What I Need Right Now,Charli XCX,4,157.129,CRASH,Pop,2022
La Buena Vida,Camila Cabello,4,197.401,Familia,Pop,2022
No Doubt,Camila Cabello,4,190.872,Familia,Pop,2022
Forget,Marina and The Diamonds,4,249.591,FROOT,Pop,2015
The Antidote,Simple Plan,4,195.953,Harder Than It Looks,Alternative,2021
Two,Simple Plan,4,218.36,Harder Than It Looks,Alternative,2022
Slow Motion,Simple Plan,4,240.024,Harder Than It Looks,Alternative,2022
After,MUNA,4,204.474,About U,Alternative,2017
I'M THAT GIRL,Beyoncé,4,208.014,RENAISSANCE,Pop,2022
Working for the Knife,Mitski,4,158.685,Laurel Hell,Alternative,2021
TV,Billie Eilish,4,281.439,Guitar Songs - Single,Alternative,2022
(Don't Fear) The Reaper,Blue Öyster Cult,3,308.175,Don't Fear the Reaper: The Best of Blue Öyster Cult,Hard Rock,1976
ICU (Madison's Lullabye),Demi Lovato,3,196.62,Dancing With The Devil…The Art of Starting Over,Pop,2021
Intro,Demi Lovato,3,26.705,Dancing With The Devil…The Art of Starting Over,Pop,2021
Butterfly,Demi Lovato,3,157.34,Dancing With The Devil…The Art of Starting Over,Pop,2021
The Way You Don't Look At Me,Demi Lovato,3,148.497,Dancing With The Devil…The Art of Starting Over,Pop,2021
Met Him Last Night (feat. Ariana Grande),Demi Lovato,3,204.711,Dancing With The Devil…The Art of Starting Over,Pop,2021
The Kind Of Lover I Am,Demi Lovato,3,189.254,Dancing With The Devil…The Art of Starting Over,Pop,2021
15 Minutes,Demi Lovato,3,171.95,Dancing With The Devil…The Art of Starting Over,Pop,2021
My Girlfriends Are My Boyfriend (feat. Saweetie),Demi Lovato,3,187.84,Dancing With The Devil…The Art of Starting Over,Pop,2021
Lost,Maroon 5,3,172.663,JORDI (Deluxe),Pop,2021
Die For a Man (feat. Lil Uzi Vert),Bebe Rexha,3,167.23,Better Mistakes,Pop,2021
Mulberry Street,twenty one pilots,3,224.467,Scaled And Icy,Alternative,2021
Saturday,twenty one pilots,3,172.292,Scaled And Icy,Alternative,2021
The Outside,twenty one pilots,3,216.827,Scaled And Icy,Alternative,2021
Redecorate,twenty one pilots,3,245.899,Scaled And Icy,Alternative,2021
No Chances,twenty one pilots,3,226.51,Scaled And Icy,Alternative,2021
Formidable,twenty one pilots,3,176.378,Scaled And Icy,Alternative,2021
