song,artist,play_count,song_length,album,genre,track_year
Jack & Diane,John Cougar,13,254.56,American Fool (Bonus Track Edition),Rock,1982
What Hurts the Most,Rascal Flatts,13,214.157,Me and My Gang (Bonus Track Version),Pop,2006
Make Me... (feat. G-Eazy),Britney Spears,13,231.015,Glory (Deluxe),Pop,2016
My Own Soul's Warning,The Killers,13,274.506,Imploding the Mirage,Alternative,2020
The Strength to Let Go,Switchfoot,13,258.577,Native Tongue,Alternative,2019
Only Hope,Mandy Moore,13,233.36,A Walk to Remember,Soundtrack,2002
Therefore I Am,Billie Eilish,13,173.603,Happier Than Ever,Alternative,2020
midnight love,girl in red,13,193.979,if i could make it go quiet,Alternative,2021
Solar Power,Lorde,13,192.682,Solar Power - Single,Alternative,2021
Boys,Charli XCX,13,162.655,Boys - Single,Pop,2017
I Still Have Faith In You,ABBA,13,309.205,Voyage,Pop,2021
if this was a movie..,Kacey Musgraves,13,194.658,star-crossed,Country,2021
Overpass Graffiti,Ed Sheeran,13,236.97,=,Pop,2021
Déjà vu,Avril Lavigne,13,203.605,Love Sux,Alternative,2022
Goodbye To Love,Phoebe Bridgers,13,242.363,Minions: The Rise Of Gru (Original Motion Picture Soundtrack),Pop,2022
Sinner's Prayer,Lady Gaga,13,223.445,Joanne (Deluxe),Pop,2016
Diamond Heart,Lady Gaga,13,210.488,Joanne (Deluxe),Pop,2016
My Oh My (feat. DaBaby),Camila Cabello,13,171.432,Romance,Pop,2019
I Forgive You,Kelly Clarkson,13,184.436,Stronger (Deluxe Version),Pop,2011
Trouble,P!nk,13,193.654,Try This,Pop,2003
One Million Bullets,Sia,13,252.122,This Is Acting,Pop,2016
Invincible,Kelly Clarkson,13,238.422,Piece by Piece (Deluxe Version),Pop,2015
So Happy I Could Die,Lady Gaga,13,234.8,The Fame Monster,Pop,2009
Venus,Lady Gaga,13,233.778,ARTPOP,Pop,2013
Say It Ain't So,Weezer,13,259.052,Weezer,Rock,1994
Better Life,P!nk,12,200.457,Beautiful Trauma,Pop,2017
Higher,Carly Rae Jepsen,12,234.475,E•MO•TION: Side B,Pop,2016
Tell Me Why,Taylor Swift,12,200.597,Fearless,Country,2008
Kody,Matchbox Twenty,12,243.605,Yourself Or Someone Like You (Deluxe Version),Pop,1996
Stronger (What Doesn't Kill You),Kelly Clarkson,12,222.005,Stronger (Deluxe Version),Pop,2011
Good in Bed,Dua Lipa,12,218.824,Future Nostalgia,Pop,2020
Boys Will Be Boys,Dua Lipa,12,166.324,Future Nostalgia,Pop,2020
Fake Mona Lisa,Carly Rae Jepsen,12,132.191,Dedicated Side B,Pop,2020
Heartbreak Down,P!nk,12,198.368,Greatest Hits...So Far!!!,Pop,2010
I Don't Believe You,P!nk,12,276.34,Funhouse (Deluxe Version),Pop,2008
Sober,P!nk,12,251.588,Funhouse (Deluxe Version),Pop,2008
Dancing Queen,ABBA,12,231.897,Gold: Greatest Hits,Pop,1992
Dancing with a Stranger,Sam Smith & Normani,12,171.093,Dancing with a Stranger - Single,Pop,2019
The One,Kodaline,12,232.571,Coming Up for Air (Expanded Edition),Alternative,2015
The Man,The Killers,12,250.148,Wonderful Wonderful (Deluxe),Alternative,2017
Young Forever,Nicki Minaj,12,186.758,Pink Friday ... Roman Reloaded (Deluxe Edition),Hip-Hop/Rap,2012
Miss You More,Katy Perry,12,234.335,Witness (Deluxe),Pop,2017
Give Me Novacaine,Green Day,12,206.058,American Idiot,Alternative,2004
Gives You Hell,The All-American Rejects,12,213.159,When the World Comes Down (Bonus Track Version),Alternative,2008
Miss Independent,Kelly Clarkson,12,214.854,Thankful,Pop,2003
Dance with Me,Kelly Clarkson,12,260.597,Piece by Piece (Deluxe Version),Pop,2015
Not Enough,Avril Lavigne,12,258.763,Goodbye Lullaby (Expanded Edition),Pop,2011
Back to December,Taylor Swift,12,293.082,Speak Now,Country,2010
Innocent,Taylor Swift,12,302.323,Speak Now,Country,2010
Supernatural,Kesha,12,251.054,Warrior (Expanded Edition),Pop,2012
Only Wanna Dance With You,Kesha,12,211.533,Warrior (Expanded Edition),Pop,2012
Praying,Kesha,12,230.318,Rainbow,Pop,2017
Learn To Let Go,Kesha,12,217.594,Rainbow,Pop,2017
Payphone (feat. Wiz Khalifa),Maroon 5,12,231.456,Overexposed (Deluxe Version),Pop,2012
Electric Chapel,Lady Gaga,12,252.308,Born This Way,Pop,2011
Time After Time (Una y Otra Vez),Cyndi Lauper,12,241.208,The Essential Cyndi Lauper,Pop,1983
All the Small Things,blink-182,12,167.09,Enema of the State,Rock,1999
Sober,Selena Gomez,12,194.934,Revival (Deluxe),Pop,2015
Sandcastles,Beyoncé,12,182.787,Lemonade,Pop,2016
Harleys In Hawaii,Katy Perry,12,185.55,Smile,Pop,2020
Blowback,The Killers,12,239.653,Imploding the Mirage,Alternative,2020
Sweet Dreams,Beyoncé,12,208.12,I Am... Sasha Fierce (Deluxe Version),Pop,2008
I Miss You,blink-182,12,227.3,Blink-182 (Bonus Track Version),Rock,2003
Freak the Freak Out (feat. Victoria Justice),Victorious Cast,12,234.544,Victorious (Music from the Hit TV Show) [feat. Victoria Justice],Pop,2010
Finally Falling,Victorious Cast & Victoria Justice,12,170.411,Victorious (Music from the Hit TV Show) [feat. Victoria Justice],Pop,2011
Nothing,The Script,12,272.277,Science & Faith (Bonus Track Version),Pop,2010
Christmases When You Were Mine,Taylor Swift,12,184.32,The Taylor Swift Holiday Collection - EP,Country,2007
You’re Not Sorry (Taylor’s Version),Taylor Swift,12,261.916,Fearless (Taylor's Version),Country,2021
Shy Away,twenty one pilots,12,175.101,Scaled And Icy,Alternative,2021
Chosen Family,Rina Sawayama & Elton John,12,279.73,Chosen Family - Single,Alternative,2020
good wife,Kacey Musgraves,12,231.488,star-crossed,Country,2021
The Lucky One (Taylor's Version),Taylor Swift,12,240.562,Red (Taylor’s Version) (+ A Message From Taylor),Pop,2021
All I Wanted (feat. Mark Hoppus),Avril Lavigne,12,152.917,Love Sux,Alternative,2022
Dare To Love Me,Avril Lavigne,12,214.933,Love Sux,Alternative,2022
Beg For You (feat. Rina Sawayama),Charli XCX,12,168.112,CRASH,Pop,2022
Every Rule,Charli XCX,12,183.181,CRASH,Pop,2022
Crazy Angels,Carrie Underwood,12,156.897,Denim & Rhinestones,Country,2022
ALIEN SUPERSTAR,Beyoncé,12,215.527,RENAISSANCE,Pop,2022
Carousel,Vanessa Carlton,12,197.323,Rabbits On the Run,Pop,2011
Hold The Girl,Rina Sawayama,12,245.876,Hold The Girl,Alternative,2022
Stay Stay Stay,Taylor Swift,12,205.914,Red (Deluxe Edition),Country,2012
Super Trouper,ABBA,12,251.239,Gold: Greatest Hits,Pop,1992
Are We the Waiting,Green Day,12,163.263,American Idiot,Alternative,2004
The Diary of Jane,Breaking Benjamin,12,200.597,Phobia,Hard Rock,2006
Chasing Cars,Snow Patrol,12,265.566,Eyes Open (Bonus Track Version),Alternative,2005
Attack,Thirty Seconds to Mars,12,189.428,A Beautiful Lie,Rock,2005
Superstar (Taylor’s Version),Taylor Swift,12,263.933,Fearless (Taylor's Version),Country,2021
cherry blossom,Kacey Musgraves,12,184.064,star-crossed,Country,2021
F.U.,Avril Lavigne,12,167.85,Love Sux,Alternative,2022
West Hills,The Killers,11,308.268,Pressure Machine,Rock,2021
Glow,Kelly Clarkson & Chris Stapleton,11,198.344,When Christmas Comes Around...,Holiday,2021
Everything Has Changed (Taylor's Version) [feat. Ed Sheeran],Taylor Swift,11,245.505,Red (Taylor’s Version) (+ A Message From Taylor),Pop,2021
Handle Me,MUNA,11,219.673,MUNA,Alternative,2022
Love Me Anyway (feat. Chris Stapleton),P!nk,11,188.174,Hurts 2B Human,Pop,2019
...Ready For It?,Taylor Swift,11,208.259,reputation,Pop,2017
God is a woman,Ariana Grande,11,197.624,Sweetener,Pop,2018
It Was in Me,Avril Lavigne,11,223.074,Head Above Water,Pop,2019
The Lucky One,Taylor Swift,11,240.326,Red (Deluxe Edition),Country,2012
Everything Has Changed (feat. Ed Sheeran),Taylor Swift,11,245.481,Red (Deluxe Edition),Country,2012
Cowboy Blues,Kesha,11,240.744,High Road,Pop,2020
Tied Together With a Smile,Taylor Swift,11,248.174,Taylor Swift (Bonus Track Version),Country,2006
This Kiss,Carly Rae Jepsen,11,228.925,Kiss (Deluxe Version),Pop,2012
Don't Be a Girl About It,Kelly Clarkson,11,207.075,Stronger (Deluxe Version),Pop,2011
Summer Love,Carly Rae Jepsen,11,196.046,Dedicated Side B,Pop,2020
My Signature Move,P!nk,11,224.792,The Truth About Love,Pop,2012
Walk Away,P!nk,11,219.335,Try This,Pop,2003
Eventually,P!nk,11,214.691,M!ssundaztood,Pop,2001
Fever,Adam Lambert,11,206.541,For Your Entertainment (Deluxe Version),Pop,2009
Gun Shot (feat. Beenie Man),Nicki Minaj,11,279.637,Pink Friday ... Roman Reloaded (Deluxe Edition),Hip-Hop/Rap,2012
Bruises (feat. Ashley Monroe),Train,11,231.851,California 37,Pop,2012
Take Care (feat. Rihanna),Drake,11,277.455,Take Care (Deluxe Version),Hip-Hop/Rap,2011
Behind These Hazel Eyes,Kelly Clarkson,11,199.041,Breakaway,Pop,2004
Sk8er Boi,Avril Lavigne,11,204.794,Let Go (20th Anniversary Edition),Rock,2022
I Can Do Better,Avril Lavigne,11,219.196,The Best Damn Thing (Expanded Edition),Pop,2007
Hush Hush,Avril Lavigne,11,239.444,Avril Lavigne (Expanded Edition),Pop,2013
Better Than Revenge,Taylor Swift,11,217.222,Speak Now,Country,2010
Love Into the Light,Kesha,11,286.836,Warrior (Expanded Edition),Pop,2012
Crazy Beautiful Life,Kesha,11,170.271,Cannibal (Expanded Edition),Pop,2010
Runaway,Maroon 5,11,181.254,Hands All Over (Deluxe Edition),Pop,2010
We Found Love (feat. Calvin Harris),Rihanna,11,215.295,Talk That Talk (Deluxe),Pop,2011
Better in Time,Leona Lewis,11,234.242,Spirit,Pop,2007
Broken Record,Shakira,11,194.583,Shakira. (Expanded Edition),Pop,2014
Video Killed the Radio Star,The Buggles,11,253.863,The Age of Plastic,Rock,1979
Rare,Selena Gomez,11,220.684,Rare (Deluxe),Pop,2020
Rumors,Ava Max,11,192.446,Heaven & Hell,Pop,2020
Obviously,McFly,11,198.948,Room On the 3rd Floor,Alternative,2004
Moment,Dagny,11,166.045,Strangers / Lovers,Pop,2020
Come In With The Rain (Taylor’s Version),Taylor Swift,11,237.4,Fearless (Taylor's Version),Country,2021
Rue,girl in red,11,216.897,if i could make it go quiet,Alternative,2021
Wrecked,Imagine Dragons,11,244.064,Mercury - Act 1,Alternative,2021
Cody,The Killers,11,217.269,Pressure Machine,Rock,2021
star-crossed,Kacey Musgraves,11,199.274,star-crossed,Country,2021
LOST IN THE CITADEL,Lil Nas X,11,170.388,MONTERO,Pop,2021
Shivers,Ed Sheeran,11,207.914,=,Pop,2021
Golden Hour,Kacey Musgraves,11,198.53,Golden Hour,Country,2018
Slow Burn,Kacey Musgraves,11,246.439,Golden Hour,Country,2018
Break Of A Heartache,Avril Lavigne,11,111.786,Love Sux,Alternative,2022
Avalanche,Avril Lavigne,11,219.997,Love Sux,Alternative,2022
Lightning,Charli XCX,11,237.401,CRASH,Pop,2022
Brightsider,Dagny,11,196.743,Brightsider - Single,Pop,2022
Push,Matchbox Twenty,11,238.89,Yourself Or Someone Like You (Deluxe Version),Pop,1996
Honestly,Kelly Clarkson,11,216.224,Stronger (Deluxe Version),Pop,2011
Super Bass,Nicki Minaj,11,200.063,Pink Friday (Deluxe Version),Pop,2010
Never Too Late,Three Days Grace,11,209.397,One-X (Deluxe Edition),Hard Rock,2006
Heavy Metal Lover,Lady Gaga,11,252.609,Born This Way,Pop,2011
LoveGame,Lady Gaga,11,216.293,The Fame,Pop,2008
MANiCURE,Lady Gaga,11,199.854,ARTPOP,Pop,2013
Fire Starter,Demi Lovato,11,204.242,Demi,Pop,2013
Not the End of the World,Katy Perry,11,178.7,Smile,Pop,2020
Fallin' for You,Colbie Caillat,11,215.597,Breakthrough (Deluxe Version),Pop,2009
Change (Taylor’s Version),Taylor Swift,11,279.447,Fearless (Taylor's Version),Country,2021
Let’s Get Lost,Carly Rae Jepsen,10,193.538,Emotion (Deluxe Expanded Edition),Pop,2015
90 Days (feat. Wrabel),P!nk,10,230.899,Hurts 2B Human,Pop,2019
Whatever You Want,P!nk,10,242.88,Beautiful Trauma,Pop,2017
Dancing With Our Hands Tied,Taylor Swift,10,211.557,reputation,Pop,2017
sweetener,Ariana Grande,10,208.587,Sweetener,Pop,2018
goodnight n go,Ariana Grande,10,189.567,Sweetener,Pop,2018
Rolling in the Deep,Adele,10,228.345,21,Pop,2010
I'll Be Waiting,Adele,10,241.719,21,Pop,2011
Cold As You,Taylor Swift,10,239.072,Taylor Swift (Bonus Track Version),Country,2006
Wrong Feels So Right,Carly Rae Jepsen,10,257.671,Kiss (Deluxe Version),Pop,2012
3 am,Matchbox Twenty,10,227.16,Yourself Or Someone Like You (Deluxe Version),Pop,1996
Breaking Your Own Heart,Kelly Clarkson,10,228.762,Stronger (Deluxe Version),Pop,2011
Ashes of Eden,Breaking Benjamin,10,293.709,Dark Before Dawn,Hard Rock,2015
Underneath the Tree,Kelly Clarkson,10,229.691,Wrapped In Red (Deluxe Version),Holiday,2013
The Great Escape,Boys Like Girls,10,206.587,Boys Like Girls (Bonus Track Version),Alternative,2006
My World,Avril Lavigne,10,207.426,Let Go (20th Anniversary Edition),Pop,2022
Sparks Fly,Taylor Swift,10,260.992,Speak Now,Country,2010
Wonderland,Kesha,10,223.05,Warrior (Expanded Edition),Pop,2012
Warrior,Kesha,10,240.396,Warrior (Expanded Edition),Pop,2012
Rainbow,Kesha,10,218.708,Rainbow,Pop,2017
How,Maroon 5,10,216.665,Hands All Over (Deluxe Edition),Pop,2010
Gypsy,Shakira,10,198.878,She Wolf (Deluxe Version),Pop,2009
Made in the USA,Demi Lovato,10,196.138,Demi,Pop,2013
Rockstar,Nickelback,10,255.582,All the Right Reasons,Rock,2005
Numb,LINKIN PARK,10,187.57,Meteora (Deluxe Edition),Hard Rock,2003
Pills N Potions,Nicki Minaj,10,268.051,The Pinkprint (Bonus Tracks),Hip-Hop/Rap,2014
Cliffs of Dover,Eric Johnson,10,249.823,Ah Via Musicom,Rock,1990
When I'm Gone,Simple Plan,10,229.715,Simple Plan (Deluxe Version),Pop,2007
If U Seek Amy,Britney Spears,10,216.572,Circus (Deluxe Version),Pop,2008
Cry About It Later,Katy Perry,10,189.823,Smile,Pop,2020
Dying Breed,The Killers,10,246.061,Imploding the Mirage,Alternative,2020
Jealous,Beyoncé,10,184.064,BEYONCÉ,Pop,2013
Halo,Beyoncé,10,261.688,I Am... Sasha Fierce (Deluxe Version),Pop,2008
Torn,Ava Max,10,198.066,Heaven & Hell,Pop,2019
All I Want For Christmas Is You,Mariah Carey,10,269.931,Merry Christmas,Holiday,1994
Candy Cane Lane,Sia,10,212.439,Everyday Is Christmas (Deluxe),Holiday,2017
Cozy Little Christmas,Katy Perry,10,182.578,Cozy Little Christmas - Single,Holiday,2018
"Hey, Soul Sister",Train,10,216.851,"Save Me, San Francisco (Bonus Track Version)",Pop,2009
Forever & Always (Taylor’s Version),Taylor Swift,10,225.421,Fearless (Taylor's Version),Country,2021
The Best Day (Taylor’s Version),Taylor Swift,10,245.368,Fearless (Taylor's Version),Country,2021
Guardian,Alanis Morissette,10,258.089,Havoc and Bright Lights,Alternative,2012
Choker,twenty one pilots,10,223.12,Scaled And Icy,Alternative,2021
hornylovesickmess,girl in red,10,175.751,if i could make it go quiet,Alternative,2021
It's Ok,Imagine Dragons,10,202.575,Mercury - Act 1,Alternative,2021
Monday,Imagine Dragons,10,188.002,Mercury - Act 1,Alternative,2021
Foreign Girls,Bleachers,10,242.23,Gone Now,Alternative,2017
A Message From Taylor,Taylor Swift,10,25.321,Red (Taylor’s Version) (+ A Message From Taylor),Pop,2021
I Knew You Were Trouble (Taylor's Version),Taylor Swift,10,219.845,Red (Taylor’s Version) (+ A Message From Taylor),Pop,2021
Girl At Home (Taylor's Version),Taylor Swift,10,220.592,Red (Taylor’s Version) (+ A Message From Taylor),Pop,2021
Mother,Kacey Musgraves,10,78.279,Golden Hour,Country,2018
Bam Bam (feat. Ed Sheeran),Camila Cabello,10,205.689,Familia,Pop,2022
drivers license,Olivia Rodrigo,10,242.068,SOUR,Pop,2021
deja vu,Olivia Rodrigo,10,215.574,SOUR,Pop,2021
Favourite Colour,Carly Rae Jepsen,10,209.536,Emotion (Deluxe Expanded Edition),Pop,2015
Don’t Blame Me,Taylor Swift,10,236.472,reputation,Pop,2017
breathin,Ariana Grande,10,198.228,Sweetener,Pop,2018
River Lea,Adele,10,225.488,25,Pop,2015
Sweetest Devotion,Adele,10,251.75,25,Pop,2015
Into You,Ariana Grande,10,244.529,Dangerous Woman,Pop,2016
The Great Escape,P!nk,10,264.359,The Truth About Love,Pop,2012
Lonely Girl (feat. Linda Perry),P!nk,10,260.318,M!ssundaztood,Pop,2001
Take You High,Kelly Clarkson,10,260.272,Piece by Piece (Deluxe Version),Pop,2015
Push,Avril Lavigne,10,181.371,Goodbye Lullaby (Expanded Edition),Pop,2011
The Harold Song,Kesha,10,238.747,Cannibal (Expanded Edition),Pop,2010
Closer,Dido,10,209.42,Life for Rent,Pop,2003
Black Jesus + Amen Fashion,Lady Gaga,10,216.34,Born This Way,Pop,2011
I Wanna Go,Britney Spears,10,210.326,Femme Fatale (Deluxe Version),Pop,2011
I'm Just a Kid,Simple Plan,10,198.391,"No Pads, No Helmets...Just Balls (15th Anniversary Tour Edition)",Rock,2002
So Am I,Ava Max,10,184.366,Heaven & Hell,Pop,2019
Heart Of Glass (Live from the iHeart Festival),Miley Cyrus,10,213.739,Plastic Hearts,Pop,2020
gracias a la vida,Kacey Musgraves,10,272.135,star-crossed,Country,2021
Good Girl,Carrie Underwood,9,205.287,Blown Away,Country,2012
Get Into It (Yuh),Doja Cat,9,138.344,Planet Her,Pop,2021
I Get A Kick Out Of You,Tony Bennett & Lady Gaga,9,214.024,Love For Sale,Jazz,2021
I Miss Those Days,Bleachers,9,218.035,Gone Now,Alternative,2017
Starlight (Taylor's Version),Taylor Swift,9,220.471,Red (Taylor’s Version) (+ A Message From Taylor),Pop,2021
Pink Convertible,MARINA,9,221.183,Ancient Dreams In A Modern Land,Pop,2022
psychofreak (feat. WILLOW),Camila Cabello,9,201.579,Familia,Pop,2022
My Attic,P!nk,9,182.392,Hurts 2B Human,Pop,2019
What About Us,P!nk,9,269.653,Beautiful Trauma,Pop,2017
I Am Here,P!nk,9,246.131,Beautiful Trauma,Pop,2017
I Did Something Bad,Taylor Swift,9,238.306,reputation,Pop,2017
I Miss You,Adele,9,348.694,25,Pop,2015
Remedy,Adele,9,245.481,25,Pop,2015
Moonlight,Ariana Grande,9,202.431,Dangerous Woman,Pop,2016
Shadow,Kesha,9,213.902,High Road,Pop,2020
Medicine,Kelly Clarkson,9,189.683,Meaning of Life,Pop,2017
Move You,Kelly Clarkson,9,202.431,Meaning of Life,Pop,2017
Whataya Want from Me,P!nk,9,226.766,Greatest Hits...So Far!!!,Pop,2010
Stupid Girls,P!nk,9,197.23,I'm Not Dead (Bonus Tracks),Pop,2006
'Cuz I Can,P!nk,9,223.259,I'm Not Dead (Bonus Tracks),Pop,2006
Christmas Tree Farm,Taylor Swift,9,228.043,Christmas Tree Farm - Single,Pop,2019
Super Natural (feat. Carly Rae Jepsen),Danny L Harle,9,223.91,Super Natural (feat. Carly Rae Jepsen) - Single,Electronic,2016
I Got Nerve,Hannah Montana,9,184.296,Hannah Montana (Songs from and Inspired By the Hit TV Series),Soundtrack,2006
These Hard Times,Matchbox Twenty,9,228.948,Exile On Mainstream (Deluxe Version),Pop,2007
Mr. Brightside,The Killers,9,223.027,Hot Fuss,Rock,2004
I Don't Want to Miss a Thing,Aerosmith,9,298.817,Armageddon - The Album,Soundtrack,1998
Masquerade,Nicki Minaj,9,229,Pink Friday ... Roman Reloaded (Deluxe Edition),Hip-Hop/Rap,2012
Va Va Voom,Nicki Minaj,9,183.623,Pink Friday ... Roman Reloaded (Deluxe Edition),Hip-Hop/Rap,2012
Swish Swish (feat. Nicki Minaj),Katy Perry,9,242.578,Witness (Deluxe),Pop,2017
Outlaws,Green Day,9,302.579,Revolution Radio,Alternative,2016
Cry,Kelly Clarkson,9,214.575,All I Ever Wanted,Pop,2009
Run Run Run (feat. John Legend),Kelly Clarkson,9,272.741,Piece by Piece (Deluxe Version),Pop,2015
Losing Grip,Avril Lavigne,9,233.824,Let Go (20th Anniversary Edition),Pop,2022
Everybody Hurts,Avril Lavigne,9,221.936,Goodbye Lullaby (Expanded Edition),Pop,2011
4 Real,Avril Lavigne,9,208.468,Goodbye Lullaby (Expanded Edition),Pop,2011
Dirty Love (feat. Iggy Pop),Kesha,9,164.374,Warrior (Expanded Edition),Pop,2012
Crazy Kids,Kesha,9,230.806,Warrior (Expanded Edition),Pop,2012
Grow a Pear,Kesha,9,208.933,Cannibal (Expanded Edition),Pop,2010
Animal,Kesha,9,256,Animal (Expanded Edition),Pop,2010
Your Love Is My Drug,Kesha,9,187.199,Animal (Expanded Edition),Pop,2010
Let 'Em Talk (feat. Eagles of Death Metal),Kesha,9,185.852,Rainbow,Pop,2017
Boogie Feet (feat. Eagles of Death Metal),Kesha,9,174.01,Rainbow,Pop,2017
Never Say Never,The Fray,9,256.673,The Fray,Rock,2009
Government Hooker,Lady Gaga,9,254.328,Born This Way,Pop,2011
Americano,Lady Gaga,9,246.549,Born This Way,Pop,2011
Clumsy,Fergie,9,240.489,The Dutchess (Deluxe Edition),Pop,2006
Thnks Fr Th Mmrs,Fall Out Boy,9,203.569,Infinity On High,Rock,2007
Move Along,The All-American Rejects,9,238.933,Move Along,Alternative,2005
In My Dreams,REO Speedwagon,9,270.466,The Hits,Rock,1987
What's My Age Again?,blink-182,9,148.421,Enema of the State,Rock,1999
Tattoo,Jordin Sparks,9,232.989,Tattoo - Single,Pop,2007
Primadonna,Marina and The Diamonds,9,221.123,Electra Heart (Deluxe Version),Pop,2012
In Love With a Girl,Gavin DeGraw,9,206.053,Gavin DeGraw,Pop,2008
Talk Dirty to Me,Poison,9,224.931,The Best of Poison: 20 Years of Rock (Remastered),Hard Rock,1986
Teary Eyes,Katy Perry,9,182.648,Smile,Pop,2020
Running Towards a Place,The Killers,9,253.724,Imploding the Mirage,Alternative,2020
How Do I Live,LeAnn Rimes,9,266.797,Greatest Hits,Country,1997
H.E.A.V.E.N,Ava Max,9,106.254,Heaven & Hell,Pop,2020
Who's Laughing Now,Ava Max,9,180.419,Heaven & Hell,Pop,2020
Can't Be Saved,Senses Fail,9,187.617,Still Searching,Alternative,2006
"Holidays (feat. Earth, Wind & Fire)",Meghan Trainor,9,165.395,A Very Trainor Christmas,Holiday,2020
Love on the Brain,Rihanna,9,224.049,ANTI (Deluxe),Pop,2016
Mahiwaga,Angeline Quinto,9,181.487,Patuloy Ang Pangarap,Pop,2011
Melon Cake,Demi Lovato,9,212.4,Dancing With The Devil…The Art of Starting Over,Pop,2021
The Getting By,The Killers,9,228.693,Pressure Machine,Rock,2021
Runaway Horses (feat. Phoebe Bridgers),The Killers,9,204.521,Pressure Machine,Rock,2021
Terrible Thing,The Killers,9,236.982,Pressure Machine,Rock,2021
there is a light,Kacey Musgraves,9,231.581,star-crossed,Country,2021
The Joker And The Queen (feat. Taylor Swift),Ed Sheeran,9,185.482,The Joker And The Queen (feat. Taylor Swift) - Single,Pop,2022
Yuck,Charli XCX,9,138.858,CRASH,Pop,2022
Happier Than Ever,Kelly Clarkson,9,254.792,Kellyoke - EP,Pop,2022
Just the Girl,The Click Five,9,234.196,Radio Disney DJ's Top Picks,Pop,2005
White Houses,Vanessa Carlton,9,224.606,Harmonium,Pop,2004
Official,Charli XCX,9,184.807,Charli,Pop,2019
Dark Side,Kelly Clarkson,9,224.56,Stronger (Deluxe Version),Pop,2011
Mr. Know It All,Kelly Clarkson,9,232.571,Stronger (Deluxe Version),Pop,2011
F**kin' Perfect,P!nk,9,213.484,Greatest Hits...So Far!!!,Pop,2010
Nonsense (feat. Mark Foster),Madeon,9,225.837,Adventure (Deluxe),Dance,2015
Rocks At My Window,Bridgit Mendler,9,192.725,Hello My Name Is...,Pop,2012
California Gurls (feat. Snoop Dogg),Katy Perry,9,234.707,Teenage Dream,Pop,2010
You Can Finally Meet My Mom,Train,9,280.102,California 37,Pop,2012
Innocence,Avril Lavigne,9,232.269,The Best Damn Thing (Expanded Edition),Pop,2007
Aura,Lady Gaga,9,235.798,ARTPOP,Pop,2013
G.U.Y.,Lady Gaga,9,232.733,ARTPOP,Pop,2013
I Wanna Dance With Somebody (Who Loves Me),Whitney Houston,9,290.481,I Will Always Love You: The Best of Whitney Houston,R&B/Soul,1987
Life Can't Get Much Better,Good Charlotte,9,204.66,Youth Authority (Bonus Track Version),Alternative,2016
***Flawless (feat. Chimamanda Ngozi Adichie),Beyoncé,9,251.03,BEYONCÉ,Pop,2013
L.A. Boyz (feat. Victoria Justice & Ariana Grande),Victorious Cast,9,179.652,Victorious 3.0 - Even More Music from the Hit TV Show (feat. Victoria Justice) - EP,Pop,2012
Good Life,OneRepublic,9,253.376,Waking Up (Deluxe Version),Pop,2009
For the First Time,The Script,9,252.911,Science & Faith (Bonus Track Version),Pop,2010
Belladonna,Ava Max,9,203.499,Heaven & Hell,Pop,2020
Fifteen (Taylor’s Version),Taylor Swift,9,294.507,Fearless (Taylor's Version),Country,2021
Boy Problems,Carly Rae Jepsen,8,222.354,Emotion (Deluxe Expanded Edition),Pop,2015
King of My Heart,Taylor Swift,8,214.389,reputation,Pop,2017
Be Alright,Ariana Grande,8,179.35,Dangerous Woman,Pop,2016
The Potato Song (Cuz I Want To),Kesha,8,213.925,High Road,Pop,2020
Tonight,Kesha,8,195.256,High Road,Pop,2020
Kinky (feat. Ke$ha),Kesha,8,205.357,High Road,Pop,2020
Sweetie,Carly Rae Jepsen,8,218.314,Kiss (Deluxe Version),Pop,2012
Cold,Matchbox Twenty,8,195.79,More Than You Think You Are (Deluxe Version),Rock,2002
Downfall,Matchbox Twenty,8,247.222,More Than You Think You Are (Deluxe Version),Rock,2002
You Love Me,Kelly Clarkson,8,244.25,Stronger (Deluxe Version),Pop,2011
Good Old Days,P!nk,8,242.184,The Truth About Love,Pop,2012
18 Wheeler,P!nk,8,225.163,M!ssundaztood,Pop,2001
Apologize,OneRepublic,8,205.635,Dreaming Out Loud (Expanded Edition),Pop,2007
Lust for Life (feat. The Weeknd),Lana Del Rey,8,264.126,Lust for Life (feat. The Weeknd) - Single,Alternative,2017
Girls Fall Like Dominoes,Nicki Minaj,8,225.094,Pink Friday (Deluxe Version),Hip-Hop/Rap,2010
Save As Draft,Katy Perry,8,228.716,Witness (Deluxe),Pop,2017
The One That Got Away,Katy Perry,8,227.393,Teenage Dream,Pop,2010
Dark Horse (feat. Juicy J),Katy Perry,8,215.736,PRISM (Deluxe Version),Pop,2013
Fingerprints,Katy Perry,8,224.908,One of the Boys,Pop,2008
Be Still,Kelly Clarkson,8,204.173,My December,Pop,2007
All I Ever Wanted,Kelly Clarkson,8,239.165,All I Ever Wanted,Pop,2009
In the Blue,Kelly Clarkson,8,282.099,Piece by Piece (Deluxe Version),Pop,2015
Darlin,Avril Lavigne,8,230.597,Goodbye Lullaby (Expanded Edition),Pop,2011
You Ain't Seen Nothin' Yet,Avril Lavigne,8,193.352,Avril Lavigne (Expanded Edition),Pop,2013
Never Grow Up,Taylor Swift,8,290.528,Speak Now,Country,2010
Never Gonna Leave This Bed,Maroon 5,8,196.765,Hands All Over (Deluxe Edition),Pop,2010
MMMBop,Hanson,8,268.701,Middle of Nowhere,Pop,1997
